,SerialNumber
1174,"commissioning of 24 PDUs. 110-4451 commissioning on off hours 8 hour burn in Data Hall 1 & 4 --- 6/10 to 6/14 Data Hall 2 & 5 --- 6/15 to 6/17 Data Hall 3 & 6 --- 6/20 to 6/22 Site Address: Project Vortex 24400 W. Valley Pkwy Olathe, KS 66061 Contact: Jenny Kitsch 913-489-8016 (o) 616-881-9145 (c) "
1175,"Customer has an STS with a monitor that quit communicating, Black screen and lost Comm. Recommend replacing monitor and SAS ""When I arrived on site this morning I touched the display in the bottom left hand corner as we discussed and the screen came on. The first thing I saw was the log in screen as seen in the Pic labeled ìLog in screen.î I pressed the cancel button on the log in screen and the ìhome screen 1î pic appeared. The unit continued to go in and out of alarm. I attached the home screen and alarm log pics that displayed as the alarms cycled in and out. Also PDU 3ís primary source is Source A, but the single line is showing as if itís source B. Are these all signs of a bad display? Also even though the unit will function properly with a bad display, we had to disable the alarm point on our BMS to prevent nuisance alarming due to the communication alarms. Therefore we will not be able to monitor this unit until this issue is resolved."" "
1176,"Performed preventative maintenance on RPP units. Physically inspected the unit for any shorts or damages. None were found. Used a thermal probe to check for any hotspots on the main breakers and subfeed branch breakers. All temperature readings were within tolerance. No hotspots were found. Then measured the voltage and current readings from the unit. Each main breaker was a separate source. So all power sources were measured and recorded. The readings are recorded on this work order. These readings were compared to the readings on the display and if any readings were off a 2% tolerance, they were calibrated on the unit. Found one issue with unit RPP A5. The bcms board needs to be replaced. This unit was calibrated at a previous visit but the voltage did not hold. The voltage keeps fluctuating from 40 volts	to 180 volts. The voltage channel on the board is bad. Need to order a new display to resolve this issue. "
1177,"-	Serial Number: 350-0138 Unit 1 PDU-A1A 150 KVA we will need a display board. Unit is showing garbled signs on display board. I donít think I will need a DCM board because last year I did change that out. -	While disconnecting the shunt trip the Molex wire came loose, and I donít have any wire connectors, or the special tool to redo the molex connector. Can you please ship me the male side of the molex connector, and the tool that I will need to redo the wire. Please see attached picture. "
1178,"Notes from technician: -	Serial Number: 350-0138 Unit 1 PDU-A1A 150 KVA we will need a display board. Unit is showing garbled signs on display board. I donít think I will need a DCM board because last year I did change that out. -	While disconnecting the shunt trip the Molex wire came loose, and I donít have any wire connectors, or the special tool to redo the molex connector. Can you please ship me the male side of the molex connector, and the tool that I will need to redo the wire. Please see attached picture. "
1179,Inductor has damaged arrestors and will need to be retest before being energized. 
1180,Site is having on going issues with the RPP. Amp readings are fluctuating. BCMS has been calibrated before by PDI techs but problem keeps on coming back. Rpp will be shut down and we need to replace BCMS board Ribbon cables and Ct's This will Done after 10pm. 
1181,"customer is still having a problem with one of the units that we recently upgraded with the rabbit card. serial # 110-2240 -- unit B2. Also, 8 of the 20 BCMS cards are not working properly. Will need to assign new IP addresses into the existing BCMS cards. site NBC Universal 100 Universal City Plaza Universal City, CA "
1182,"PDU B18. The PDU shows no transfers on the counters and no alarms in the history. This is happening about every 10 mins and display shows all zeros on the last rows. site AT&T 11830 Webb Chapel Rd Dallas, TX "
1183,Scope: To begin the PM on (34) STSs; 411-0099-1-34; To replace the cap enclosures like Blackberry; Approx 4/night; Will continue our efforts in March after their freeze 
1184,"STS has a broken connector where the fiber goes and needs a new monitor serial # 411-0192-17 ( 14DP1) site CyrusOne Bldg 2 5170 Westway Park Blvd Houston, TX 77539 "
1185,The boxes were ordered incorrectly. They need to be returned to PDI 
1186,Unit was damaged beyond repair - customer is requesting a replacement unit. [Damaged at customer site] 
1187,Monitor needs to be replaced 
1188,"during customer's commissioning, the breaker did not trip during an injection test. serial # 110-4409-5. report attached site IO 615 N 48th St Phoenix, AZ 85008 "
1189,"Preventative Maintenance on 22 STS, serial # 411-0159 site Ascent suite 800 505 N Railroad Northlake, IL "
1190,", I believe you were able to clear the faults and place the system in normal. But since, the issue has returned. I have been talking with John and he suggests the SAS board be replaced. I am getting one on order now. STS s/n 452-0043 input A trip, transferred but did not hold the load. "
1191,Scope: To inspect a touchscreen that is unresponsive at times or will not work properly. The keyboard screen makes it difficult to type in the password; 442-0137-6; Screen shipped to the site for your use 
1192,"SSH3 SERIAL # 420-0089 MODEL# STS-FR-STD-2-480-600-60 - SOUNDS LIKE A FAN IS GOING BAD, THE FAN IS LOUD. SSEH3 SERIAL # 420-0089 MODEL# STS-FR-STD-2-480-400-60- ALARM HIGH PHASE TEMP SSHA SERIAL # 420-0089 MODEL# STS-FR-STD-2-480-250-60- BLOWN CONTROL FUSE "
1193,"customer was testing the unit on site themselves and there was an arch flash. serial # 350-0281-18 Site address: Verizon Data Services LLC Omaha Data Center 7400 World Communications Dr. Omaha, NE 68122 Contact: Mark Hayward 402-943-6912 "
1194,"sales missed a change to the TOB order and the order was relayed to AE's incorrectly and built incorrectly. Boxes needed to be L-N +G. That means 60A, 1-pole CBs, not a 2-pole units as supplied site Fidelity 11050 Cornhusker Papillion, NE "
1195,3 tap off boxes returned due to broken blades (where the TOB plugs into the busway). site: Conway Corp 
1196,"M4 displays are getting random characters serial # 110-1743-1-2 (2 units) site Blue Bunny Le Mars, IA "
1197,"defective display in 3 RPPs. serial # 180-1931 location # : 160707AR1-4 160707AR2-2 160707BR2-1 site CyrusOne 1649 W Frankford Rd Carrollton, TX 75007 "
1198,Customer received 2 RH starter rails instead of 1 LH & 1 RH 
1199,"order entry error. see drawings for incorrect and the correct way the boxes should have been built. site Cummings TD Ameritrade Richardson, TX "
1200,"BCMS board and power supply bad in T15-24-US-S-2209 Site address: Baselayer 2550 N. Nevada Street Chandler, AZ 85225 Contact: Julie Chao and Elijah Navejas will be the primary contact tomorrow morning, In case Sal can make it at 6am please contact Elijah 602.814.1711 or Julie after 7am 480.559.3873 "
1201,"upgrade to 600A NETA tested breakers installed into 8 PDUs. will have a BMCS CT's and integration into existing monitoring ,serial # T16-19-US-S-2754 T16-19-US-S-2756 T16-19-US-S-2755 T16-19-US-S-2759 T16-19-US-S-2758 T16-19-US-S-2761 T16-19-US-S-2757 T16-19-US-S-2760 site Cyrus One 5170 Westway Park Blvd Houston, TX 77041 "
1202,"Scope: 200A main breakers damaged in transit. Site address: American Express 3151 West Behrend Drive Phoenix, AZ 85027 Contact: Todd Lipscomb 602-766-6310 "
1203,One of the PDUs failed Modbus RTU communication test. Still trying to identify cause of the problem. 
1204,"issue: customer received a high ground reading. Also seeing random characters like $* . screen looks pixilated. Site: HSBC 475 Corporate Woods Vernon Hills, IL 60070 "
1205,"open items from last visit: B1-3, D voting SAS Time out SAS TX 3 down -- need SAS Board and Square fuses need 12 for spare B1-4 B179 Red led light on SAS Board would not reset U411-0247-13 --- need new SAS board PDU B1-6 zero frequency --- need M4G high voltage board PDU D2-6 T15-48-US-S-2456 repetitive alarm . The alarm on foreseer state ìinput frequencyî however the STS shows SAS TX2 down. Input frequency appears to be within parameter site CyrusOne 9999 Westover Hills San Antonio, TX "
1206,"punch list RPP Branch Three (3) of the 30A/2P breakers have failed acceptance testing - See failure report. WEI / PDI SPDU-8B8 The Ethernet communication card appears to be non functioning. SPDU-8B7 The bus section between the S1 (C-phase) load side and isolation line side apperars to have been in an overheated condition or was not plated properly. SPDU-8B7 Source 1 Input Switch (HPD 3775.000.100.009) is misisng the cradle trip switch mechanism. Site address: T5 Titan Data Hall 8 6653 Pincrest Drive Plano, TX 75024 Contact: Kevin Leer (469) 744-7773 "
1207,STS has SAS1 fuse C alarm and needs to be inspected 
1208,"Time 1PM Scope: To provide standby service and perform PM on (26) PDUs; SO25716 Site Address: UBS 90 Ivy Brook Rd Shelton, CT 06484 Site Contact: Mark Charette Office: 203-751-8140 Cell: 203-450-0075 "
